Semester_Week,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,hour,minute,sin_hour,cos_hour,Day_Of_Week,Is_weekend,Semester_Spring 2017,Class_Standing_Graduate,Class_Standing_Junior,Class_Standing_Other,Class_Standing_Senior,Class_Standing_Sophomore,Expected_Graduation_Fall Semester 2019,Expected_Graduation_Fall Semester 2020,Expected_Graduation_Spring Semester 2017,Expected_Graduation_Spring Semester 2018,Expected_Graduation_Spring Semester 2020,Expected_Graduation_Spring Semester 2021,Expected_Graduation_Summer Semester 2017,Expected_Graduation_Summer Semester 2018,Expected_Graduation_Summer Semester 2019,Expected_Graduation_Summer Semester 2020,Gender_MALE,time_bin_Evening,time_bin_Morning,course_level_Grad level Course,course_level_Junior level Course,course_level_Senior level Course,course_level_Sophomore level Course,course_level_Unknown course number,occupancy
5,18,2.333,155.0,2.383,-0.05,11,43,0.258819045102521,-0.9659258262890682,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,9
13,19,3.375,181.0,3.253,0.122,10,26,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5
16,19,3.375,181.0,3.253,0.122,10,24,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3
12,19,3.375,181.0,3.253,0.122,10,35,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6
16,12,2.0,147.0,2.557,-0.557,8,52,0.8660254037844388,-0.4999999999999998,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3
2,16,3.187,119.0,2.69,0.497,15,28,-0.7071067811865471,-0.7071067811865479,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
17,16,3.187,119.0,2.69,0.497,12,43,1.2246467991473532e-16,-1.0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
7,16,3.187,119.0,2.69,0.497,14,39,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
3,16,3.187,119.0,2.69,0.497,14,30,-0.4999999999999998,-0.8660254037844388,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
6,16,3.187,119.0,2.69,0.497,15,53,-0.7071067811865471,-0.7071067811865479,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20
2,16,3.187,119.0,2.69,0.497,18,9,-1.0,-1.8369701987210297e-16,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10
2,16,3.187,119.0,2.69,0.497,14,55,-0.4999999999999998,-0.8660254037844388,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
7,16,3.187,119.0,2.69,0.497,14,56,-0.4999999999999998,-0.8660254037844388,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13
